CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Cluster,Cluster_Name,PC1,PC2,DBSCAN_Label,Ward_Label,IQR_flag,ZScore_flag,IF_flag,MAHA_flag,LOF_flag,DBSCAN_flag,UNI_flag,MV_flag,Composite_Anomaly_Score,UniMV_Segment,Anomaly_Class,Max_Abs_Z,HighBal_Churn_flag,IF_score,MAHA_dist2,Age_Band,Balance_Band,Active_Status,Churn_Status
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.3761,0.2997,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2677780117370796,0,-0.4607,4.051,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5442,-0.1976,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.5885280587778523,0,-0.5011,7.208,Young adult (18-30),Zero balance,Inactive,Retained
476,France,Female,34,10,0.0,2,1,0,26260.98,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5568,0.1625,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.8058103487086987,0,-0.5428,9.821,Middle-aged (31-45),Zero balance,Inactive,Retained
549,France,Female,25,5,0.0,2,0,0,190857.79,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5919,1.4034,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.5783569986897874,0,-0.494,7.207,Young adult (18-30),Zero balance,Inactive,Retained
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5099,0.0222,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2258476714090278,0,-0.4274,2.648,Middle-aged (31-45),Zero balance,Active,Retained
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.3171,-1.0588,1,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.0681029591182611,0,-0.4709,5.234,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,1,High-Balance Single-Product France-Skew Watchlist,-1.6091,-2.583,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.8191748741175744,1,-0.5442,10.46,Senior (46-60),Above ceiling (>100K),Inactive,Churned
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.6742,0.3493,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.489956183569091,0,-0.531,9.149,Young adult (18-30),Zero balance,Active,Retained
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,2,Zero-Balance Multi-Product France-Skew Loyalist,0.1545,0.3901,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2258476714090278,0,-0.4792,5.93,Middle-aged (31-45),Zero balance,Inactive,Retained
726,France,Female,24,6,0.0,2,1,1,54724.03,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.6427,0.3243,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.422847209726683,0,-0.4717,5.205,Young adult (18-30),Zero balance,Active,Retained
732,France,Male,41,8,0.0,2,1,1,170886.17,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.4837,1.1186,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2310704831801604,0,-0.4644,5.32,Middle-aged (31-45),Zero balance,Active,Retained
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5797,1.1847,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2258476714090278,0,-0.4486,3.558,Middle-aged (31-45),Zero balance,Inactive,Retained
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,2,Zero-Balance Multi-Product France-Skew Loyalist,0.1902,-0.1443,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.4540199745349478,0,-0.482,6.106,Middle-aged (31-45),Zero balance,Inactive,Churned
669,France,Male,46,3,0.0,2,0,1,8487.75,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.2731,-1.9103,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.5928757668520803,0,-0.4882,5.897,Senior (46-60),Zero balance,Active,Retained
846,France,Female,38,5,0.0,1,1,1,187616.16,0,2,Zero-Balance Multi-Product France-Skew Loyalist,0.2745,1.0238,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,2.0224966643585907,0,-0.5448,10.505,Middle-aged (31-45),Zero balance,Active,Retained
577,France,Male,25,3,0.0,2,0,1,124508.29,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5445,0.2797,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3274936190253817,0,-0.4601,4.892,Young adult (18-30),Zero balance,Active,Retained
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,1,High-Balance Single-Product France-Skew Watchlist,-1.3126,0.5035,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.216390340952162,0,-0.4778,5.2,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
571,France,Male,44,9,0.0,2,0,0,38433.35,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.4167,-0.3301,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,0,-0.4815,6.158,Middle-aged (31-45),Zero balance,Inactive,Retained
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1,High-Balance Single-Product France-Skew Watchlist,-1.47,-0.5279,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.0395750259469725,0,-0.4479,2.753,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,2,Zero-Balance Multi-Product France-Skew Loyalist,0.7305,-1.2993,-1,0,0,0,1,0,1,1,0,1,2,Multivariate only,B: Rare Valid — Statistically Unusual Pattern,2.4783507699232223,0,-0.5893,11.832,Young adult (18-30),Insured (0-100K),Active,Retained
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,2,Zero-Balance Multi-Product France-Skew Loyalist,2.5778,-0.267,-1,2,0,0,0,0,0,1,0,0,1,Neither,C: Risk Signal — Density Outlier + Churned,2.52705661927622,0,-0.5271,9.957,Middle-aged (31-45),Zero balance,Inactive,Churned
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,1,High-Balance Single-Product France-Skew Watchlist,-0.6714,1.0783,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2160441331821163,0,-0.4661,3.97,Middle-aged (31-45),Insured (0-100K),Active,Retained
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.2258,0.4601,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,0,-0.4746,5.276,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.3757,-0.9561,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.350552217425021,0,-0.4696,5.368,Middle-aged (31-45),Zero balance,Active,Retained
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.6543,1.5993,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,0,-0.4686,5.429,Young adult (18-30),Zero balance,Active,Retained
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,High-Balance Single-Product France-Skew Watchlist,-1.5071,-2.047,0,0,0,0,1,0,0,0,0,1,1,Multivariate only,C: Risk Signal — High-Balance Pre-Churn,1.8161571244196912,1,-0.5672,9.528,Middle-aged (31-45),Above ceiling (>100K),Inactive,Churned
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1,High-Balance Single-Product France-Skew Watchlist,-1.3771,0.1427,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.6609554887548013,0,-0.4901,5.66,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,1,High-Balance Single-Product France-Skew Watchlist,-0.4998,0.8234,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.5879320844968985,0,-0.4881,4.511,Middle-aged (31-45),Insured (0-100K),Active,Retained
850,France,Male,36,7,0.0,1,1,1,40812.9,0,2,Zero-Balance Multi-Product France-Skew Loyalist,0.3244,-0.0269,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,2.063883767202561,0,-0.5309,9.836,Middle-aged (31-45),Zero balance,Active,Retained
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.6239,0.7862,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3560603601273575,0,-0.4654,3.754,Middle-aged (31-45),Insured (0-100K),Active,Retained
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,2,Zero-Balance Multi-Product France-Skew Loyalist,0.1519,-0.7916,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.8471974515526688,0,-0.503,7.507,Middle-aged (31-45),Zero balance,Inactive,Retained
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,High-Balance Single-Product France-Skew Watchlist,-1.2672,0.8492,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.919624881529618,0,-0.5165,9.883,Senior (46-60),Above ceiling (>100K),Inactive,Churned
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,1,High-Balance Single-Product France-Skew Watchlist,-1.4591,-1.7414,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,2.105235646221479,0,-0.5089,9.305,Elderly (60+),Above ceiling (>100K),Active,Retained
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,High-Balance Single-Product France-Skew Watchlist,-1.4104,0.2114,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.898335355826679,1,-0.5553,10.146,Senior (46-60),Above ceiling (>100K),Inactive,Churned
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,1,High-Balance Single-Product France-Skew Watchlist,-1.8003,-0.3035,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,2.105235646221479,0,-0.5021,9.393,Elderly (60+),Above ceiling (>100K),Active,Retained
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.2892,0.5251,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2982223645891036,0,-0.4684,4.132,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,High-Balance Single-Product France-Skew Watchlist,-0.7634,1.8373,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.8466014772717152,0,-0.5161,8.156,Young adult (18-30),Above ceiling (>100K),Active,Churned
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,High-Balance Single-Product France-Skew Watchlist,-1.2373,1.1049,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,1,-0.4483,3.437,Middle-aged (31-45),Above ceiling (>100K),Active,Churned
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,1,High-Balance Single-Product France-Skew Watchlist,-1.0138,-0.6739,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.0417596792253108,0,-0.4544,3.058,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.2537,0.6258,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.6347204885477364,0,-0.5052,7.128,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.1837,1.8819,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.7244635794717436,0,-0.5141,8.921,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.193,0.0447,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.1149271191851775,0,-0.4547,4.123,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
788,France,Female,33,5,0.0,2,0,0,116978.19,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5167,0.4274,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.4223836731210155,0,-0.4608,4.094,Middle-aged (31-45),Zero balance,Inactive,Retained
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,High-Balance Single-Product France-Skew Watchlist,-1.1448,1.3277,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.1120387734559636,0,-0.4472,3.536,Middle-aged (31-45),Above ceiling (>100K),Inactive,Churned
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,High-Balance Single-Product France-Skew Watchlist,-1.0249,-1.5262,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3875375865624426,0,-0.4671,4.208,Middle-aged (31-45),Insured (0-100K),Inactive,Churned
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,1,High-Balance Single-Product France-Skew Watchlist,-1.3237,-0.7797,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3875375865624426,0,-0.4569,3.384,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,1,High-Balance Single-Product France-Skew Watchlist,-1.2908,-0.2751,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,0.9115834940401768,0,-0.4307,1.708,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,1,High-Balance Single-Product France-Skew Watchlist,-0.4834,-0.4706,0,0,0,0,0,0,1,0,0,1,0,Multivariate only,Normal — Not Flagged,1.899615163233192,0,-0.5435,10.592,Young adult (18-30),Insured (0-100K),Inactive,Retained
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,2,Zero-Balance Multi-Product France-Skew Loyalist,-0.1858,-2.7711,-1,0,1,0,1,0,1,1,1,1,3,Both families,C: Risk Signal — Disengaged Single-Product Churn,2.5820035997279875,0,-0.6063,18.119,Elderly (60+),Zero balance,Inactive,Churned
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,1,High-Balance Single-Product France-Skew Watchlist,-0.4255,-1.4349,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.1516997392084622,0,-0.4924,4.85,Senior (46-60),Insured (0-100K),Active,Retained
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,1,High-Balance Single-Product France-Skew Watchlist,-1.2558,0.275,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,0.9675743614357466,0,-0.4392,2.494,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.0394,1.814,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,0,-0.4996,7.319,Young adult (18-30),Above ceiling (>100K),Inactive,Retained
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.7739,0.1829,1,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3875375865624426,0,-0.4998,6.039,Middle-aged (31-45),Insured (0-100K),Inactive,Retained
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,1,High-Balance Single-Product France-Skew Watchlist,-0.8108,-0.196,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.6284676927149706,0,-0.4779,6.138,Senior (46-60),Insured (0-100K),Active,Retained
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,1,High-Balance Single-Product France-Skew Watchlist,-0.8658,0.4035,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.23214002832408,0,-0.4554,3.372,Young adult (18-30),Above ceiling (>100K),Active,Retained
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.4125,-0.2306,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.496059620393335,0,-0.5126,7.857,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,High-Balance Single-Product France-Skew Watchlist,-0.9507,-0.396,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3875375865624426,0,-0.4552,3.64,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.1263,1.9163,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.7244635794717436,0,-0.5291,9.439,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.2164,0.4111,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.1898468010272087,0,-0.4481,3.887,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,1,High-Balance Single-Product France-Skew Watchlist,-0.5931,0.7485,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.7089079818305883,0,-0.5111,8.133,Young adult (18-30),Insured (0-100K),Inactive,Retained
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,2.0259,-2.3162,-1,2,0,0,1,1,0,1,0,1,2,Multivariate only,C: Risk Signal — High-Balance Pre-Churn,4.246376675934418,1,-0.6295,42.997,Senior (46-60),Above ceiling (>100K),Inactive,Churned
813,France,Male,29,6,0.0,1,1,0,33953.87,0,2,Zero-Balance Multi-Product France-Skew Loyalist,0.3858,0.0592,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.6810530658958325,0,-0.5238,9.348,Young adult (18-30),Zero balance,Inactive,Retained
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,1,High-Balance Single-Product France-Skew Watchlist,-1.7076,-1.3214,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.7333154938995745,0,-0.5237,6.085,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.1767,0.2922,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3274936190253817,0,-0.4967,6.89,Young adult (18-30),Above ceiling (>100K),Active,Retained
519,France,Male,36,9,0.0,2,0,1,145562.4,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.5262,1.1121,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,0,-0.4903,6.174,Middle-aged (31-45),Zero balance,Active,Retained
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.4306,-0.5013,1,2,0,0,1,0,1,0,0,1,1,Multivariate only,B: Rare Valid — Young High-Balance Customer,1.7089079818305883,0,-0.5771,13.452,Young adult (18-30),Above ceiling (>100K),Inactive,Retained
664,France,Male,55,8,0.0,2,1,1,139161.64,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.2885,0.0322,1,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.533114102013669,0,-0.4828,7.671,Senior (46-60),Zero balance,Active,Retained
678,France,Female,32,9,0.0,1,1,1,148210.64,0,2,Zero-Balance Multi-Product France-Skew Loyalist,0.4064,1.5637,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,0,-0.4918,7.026,Middle-aged (31-45),Zero balance,Active,Retained
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,1,High-Balance Single-Product France-Skew Watchlist,-0.5454,1.3979,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.637163817045588,0,-0.4906,5.393,Middle-aged (31-45),Insured (0-100K),Active,Retained
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.0991,0.7462,1,2,0,0,0,0,1,0,0,1,0,Multivariate only,Normal — Not Flagged,2.426616891368259,0,-0.5515,11.767,Middle-aged (31-45),Above ceiling (>100K),Inactive,Retained
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.3234,0.2207,1,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3875375865624426,0,-0.4706,5.115,Middle-aged (31-45),Insured (0-100K),Inactive,Retained
777,France,Female,32,2,0.0,1,1,0,136458.19,1,2,Zero-Balance Multi-Product France-Skew Loyalist,0.2688,0.1633,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.308569140300096,0,-0.5039,7.744,Middle-aged (31-45),Zero balance,Inactive,Churned
543,France,Female,36,3,0.0,2,0,0,26019.59,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.3839,-1.2923,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2880145876351567,0,-0.4677,5.207,Middle-aged (31-45),Zero balance,Inactive,Retained
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,1,High-Balance Single-Product France-Skew Watchlist,-0.764,0.5946,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.4954070773789183,0,-0.4718,4.636,Middle-aged (31-45),Insured (0-100K),Active,Retained
493,France,Female,46,4,0.0,2,1,0,1907.66,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.272,-1.8781,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.7072969569127634,0,-0.5352,8.523,Senior (46-60),Zero balance,Inactive,Retained
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.0691,-0.8262,1,0,1,1,1,1,1,0,1,1,3,Both families,B: Rare Valid — Statistically Unusual Pattern,3.440185916039703,0,-0.579,23.761,Elderly (60+),Zero balance,Active,Retained
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,High-Balance Single-Product France-Skew Watchlist,-0.9483,0.9707,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.613554391129287,0,-0.49,6.397,Young adult (18-30),Above ceiling (>100K),Inactive,Churned
729,France,Male,30,9,0.0,2,1,0,151869.35,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.6435,1.7038,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.378685672134612,0,-0.47,5.638,Young adult (18-30),Zero balance,Inactive,Retained
