Source_RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,IQR_outlier_count,IQR_flag,ZScore_outlier_count,ZScore_flag,IF_flag,IF_anomaly_score,MAHA_dist2,MAHA_flag,LOF_flag,LOF_score,UNI_flag,MV_flag,UniMV_Segment,Max_Abs_Z,HighBal_Churn_flag,DBSCAN_flag,Composite_Anomaly_Score,Anomaly_Class,Anomaly_Evidence,Recommended_Action
550,749,France,Male,24,1,0.0,3,1,1,47911.03,0,0,0,0,0,1,-0.5708500593316012,13.018342357798376,0,1,1.3371947700966136,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
556,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,0,0,0,0,1,-0.5842132361966443,20.391712871348677,0,0,1.055493241459442,0,1,Multivariate only,2.52705661927622,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
560,850,Spain,Female,70,5,0.0,1,1,1,705.18,0,1,1,0,0,1,-0.6355848571457264,22.634483611932545,1,1,1.3357828878723472,1,1,Both families,2.9634179625331942,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
567,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1,0,0,0,0,1,-0.5823839573226606,14.634541902565472,0,1,1.4241225674804137,0,1,Multivariate only,2.1989878257264204,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
603,687,France,Female,72,9,0.0,1,0,1,69829.4,0,1,1,1,1,1,-0.5704748119059125,19.442053908813186,0,1,1.2252528904009716,1,1,Both families,3.1541251439357976,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
679,788,Spain,Female,70,1,0.0,2,1,1,41610.62,0,1,1,0,0,1,-0.5930379922597047,19.913531253994297,0,0,1.104555014109648,1,1,Both families,2.9634179625331942,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
697,445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1,0,0,0,0,1,-0.5794225141028526,13.876037436798978,0,1,1.2127079366527838,0,1,Multivariate only,2.200589236922781,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
706,750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1,0,0,0,0,1,-0.5813295043211202,18.279628685878627,0,0,1.0503818432167968,0,1,Multivariate only,2.52705661927622,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
728,711,France,Female,25,7,0.0,3,1,1,9679.28,0,0,0,0,0,1,-0.5663755515239836,12.240465706279684,0,1,1.916128035554457,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
747,844,France,Male,18,2,160980.03,1,0,0,145936.28,0,0,0,0,0,1,-0.571911060746018,12.577886493965055,0,1,1.4345487838571929,0,1,Multivariate only,2.001803112936605,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
767,700,France,Female,82,2,0.0,2,0,1,182055.36,0,1,1,1,1,1,-0.5779120853038796,30.136754702778962,1,0,1.0855210366141108,1,1,Both families,4.107661050948814,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
812,681,Spain,Male,65,7,134714.7,2,0,1,190419.81,0,1,1,0,0,0,-0.5413544180268833,15.468393876821247,0,0,1.1481876338838073,1,0,Univariate only,2.4866500090266856,0,1,2,C: Risk Signal — DBSCAN Density Outlier,Phase 2 places the record outside dense customer neighbourhoods.,Review the unusual feature combination and monitor engagement.
814,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1,0,0,0,0,1,-0.5891798896571719,18.99707578821754,0,1,1.5746572909564434,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
860,598,France,Male,64,1,0.0,2,1,0,195635.3,1,1,1,0,0,0,-0.5614637829901655,15.694972223504834,0,0,1.1300603670447829,1,0,Univariate only,2.391296418325384,0,1,2,C: Risk Signal — DBSCAN Density Outlier,Phase 2 places the record outside dense customer neighbourhoods.,Review the unusual feature combination and monitor engagement.
889,733,Germany,Male,74,3,106545.53,1,1,1,134589.58,0,1,1,1,1,0,-0.5582283274989907,17.690605380260518,0,0,1.0868487346503906,1,0,Univariate only,3.344832325338401,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
923,555,France,Male,51,5,0.0,3,1,0,189122.89,1,0,0,0,0,1,-0.5666210517371301,14.33718450352425,0,1,1.383619787197787,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
943,376,France,Female,46,6,0.0,1,1,0,157333.69,1,1,1,0,0,0,-0.5542228982551254,13.012958084953613,0,1,1.2475368704648575,1,1,Both families,2.840487919807966,0,1,2,C: Risk Signal — DBSCAN Density Outlier,Phase 2 places the record outside dense customer neighbourhoods.,Review the unusual feature combination and monitor engagement.
964,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,1,1,0,0,1,-0.5904555994151915,21.31915948362549,0,0,1.0732886968686783,1,1,Both families,2.52705661927622,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
970,649,Germany,Male,70,9,116854.71,2,0,1,107125.79,0,1,1,0,0,0,-0.5456341199979963,17.381290879074047,0,0,1.0952267873238266,1,0,Univariate only,2.9634179625331942,0,1,2,C: Risk Signal — DBSCAN Density Outlier,Phase 2 places the record outside dense customer neighbourhoods.,Review the unusual feature combination and monitor engagement.
1010,650,Spain,Male,71,0,0.0,1,1,1,175380.77,0,1,1,1,1,1,-0.6095935466445284,21.089119653618614,0,1,1.2360882052946929,1,1,Both families,3.058771553234496,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1040,714,France,Female,72,3,0.0,1,1,1,86733.61,0,1,1,1,1,1,-0.5641378695741119,18.141009886550613,0,0,1.175480774406099,1,1,Both families,3.1541251439357976,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1041,580,Spain,Male,67,3,153946.14,1,1,1,7418.92,0,1,1,0,0,1,-0.5645147579425587,14.672927881042535,0,0,1.1022360449215611,1,1,Both families,2.6773571904292894,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
1056,545,Spain,Female,74,3,0.0,2,1,1,161326.73,0,1,1,1,1,1,-0.5774495191871675,21.346550321687364,0,0,1.047053363436606,1,1,Both families,3.344832325338401,0,0,3,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
1118,731,France,Female,47,1,115414.19,3,0,0,191734.67,1,0,0,0,0,1,-0.5700146066446498,17.732622749027403,0,0,1.023848382838028,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1194,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1,1,1,0,0,1,-0.6140239981381572,22.983134904733863,1,1,1.8345957278173866,1,1,Both families,2.9749960040508707,1,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1206,780,France,Male,76,10,121313.88,1,0,1,64872.33,0,1,1,1,1,1,-0.5932258431906131,23.17091652226759,1,0,1.1342388507045282,1,1,Both families,3.5355395067410043,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1255,628,France,Female,46,1,46870.43,4,1,0,31272.14,1,0,0,0,0,1,-0.6118255217175048,29.073997051662648,1,0,1.1384174490254648,0,1,Multivariate only,4.246376675934418,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1266,534,France,Female,55,8,116973.26,3,1,0,122066.5,1,0,0,0,0,1,-0.574872720924705,18.756405555264152,0,0,1.0344583778435426,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1342,794,France,Female,41,7,176845.41,3,1,0,166526.26,1,0,0,0,0,1,-0.5987938904793051,19.965477540974756,0,0,1.1726615899377815,0,1,Multivariate only,2.52705661927622,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1343,652,Spain,Male,71,4,0.0,1,1,1,120107.1,0,1,1,1,1,0,-0.5510047919318023,16.65457764756229,0,0,1.115859195705145,1,0,Univariate only,3.058771553234496,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
1377,457,France,Male,41,8,73700.12,3,1,1,185750.02,1,0,0,0,0,1,-0.5886519904435713,16.635060387490878,0,1,1.3324014402511315,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1382,846,France,Female,41,5,0.0,3,1,0,3440.47,1,0,0,0,0,1,-0.597302610113756,14.887553486928729,0,1,1.761862161749311,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1406,359,France,Female,44,6,128747.69,1,1,0,146955.71,1,1,1,1,1,0,-0.5131595531255927,11.000923949893423,0,1,1.2972349525416207,1,1,Both families,3.0163831068948417,1,0,2,C: Risk Signal — ARM Profile Overlap,An anomaly flag overlaps a Phase 3 churn-associated engagement profile.,"Validate out of time, then test re-engagement / relationship-depth actions."
1411,523,France,Female,73,7,0.0,2,0,0,130883.9,1,1,1,1,1,1,-0.5732744401815393,20.084387212702413,0,0,1.077164296459762,1,1,Both families,3.2494787346370995,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1458,850,France,Male,66,4,0.0,2,0,1,64350.8,0,1,1,0,0,1,-0.5742310081568113,16.80530537790171,0,1,1.2267992591872543,1,1,Both families,2.5820035997279875,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1470,819,Germany,Female,49,1,120656.86,4,0,0,166164.3,1,0,0,0,0,1,-0.633847902391185,37.57317861864416,1,0,1.1942303832344674,0,1,Multivariate only,4.246376675934418,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1489,596,Spain,Male,30,6,121345.88,4,1,0,41921.75,1,0,0,0,0,1,-0.5814968971754879,30.52853263397129,1,0,1.1118102450930707,0,1,Multivariate only,4.246376675934418,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1534,850,France,Female,37,3,212778.2,1,0,1,69372.88,0,0,0,0,0,1,-0.562051834368255,9.430569960309976,0,1,1.439537742286155,0,1,Multivariate only,2.1843716961721116,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1615,641,France,Male,77,9,0.0,3,1,1,81514.06,0,1,1,1,1,1,-0.6204408676485567,31.339052760922673,1,1,1.4756666546751696,1,1,Both families,3.630893097442306,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1632,350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1,1,1,1,1,1,-0.5842838690475953,18.123422408503515,0,1,1.682063823720144,1,1,Both families,3.1095040882937757,1,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1702,792,France,Male,50,9,0.0,4,1,1,194700.81,1,0,0,0,0,1,-0.644290862217192,31.752297630525604,1,1,1.357852026675531,0,1,Multivariate only,4.246376675934418,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1791,697,Germany,Female,74,3,108071.36,2,1,1,16445.79,0,1,1,1,1,1,-0.5844964708436572,21.11690671148043,0,0,1.1558653184248913,1,1,Both families,3.344832325338401,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1799,714,France,Female,51,4,88308.87,3,0,0,5862.53,1,0,0,0,0,1,-0.5681730757402331,15.853983249646411,0,0,1.0288008460755198,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1808,818,France,Female,49,2,0.0,1,0,1,192298.84,1,0,0,0,0,1,-0.5636703703928301,11.660356245069506,0,0,1.1797017360034723,0,1,Multivariate only,1.7327869444507957,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1811,651,France,Female,65,0,0.0,2,1,1,190454.04,0,1,1,0,0,1,-0.5848029098643702,16.87264380770825,0,0,1.1461619631432423,1,1,Both families,2.4866500090266856,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
1828,425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1,0,0,0,0,1,-0.5793083661694284,13.767869613663164,0,1,1.3806565590451594,0,1,Multivariate only,2.333495909969325,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1839,350,Germany,Male,39,0,109733.2,2,0,0,123602.11,1,1,1,1,1,1,-0.5652251571277682,14.403006948838172,0,1,1.418840370342838,1,1,Both families,3.1095040882937757,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1867,559,France,Female,70,9,0.0,1,1,1,122996.76,0,1,1,0,0,1,-0.587271420530567,18.42245742678382,0,1,1.2907286800433804,1,1,Both families,2.9634179625331942,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1877,640,Germany,Male,39,9,131607.28,4,0,1,6981.43,1,0,0,0,0,1,-0.6137060580578317,34.68957706256347,1,0,1.1508167294474632,0,1,Multivariate only,4.246376675934418,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1889,429,France,Male,60,7,0.0,2,1,1,163691.48,0,0,0,0,0,1,-0.5680150075585276,14.985000660061647,0,1,1.3493843882453636,0,1,Multivariate only,2.2921088071253544,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1902,796,Spain,Male,67,5,0.0,2,0,1,54871.02,0,1,1,0,0,1,-0.5618164436944008,15.647666009028507,0,0,1.127240462363838,1,1,Both families,2.6773571904292894,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1905,625,Spain,Female,69,1,107569.96,1,1,1,182336.45,0,1,1,0,0,1,-0.562290432964962,16.004118744838106,0,0,1.177272974579683,1,1,Both families,2.868064371831893,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
1934,666,Germany,Male,74,7,105102.5,1,1,1,46172.47,0,1,1,1,1,0,-0.5477548307985385,17.347848205726436,0,0,1.0283063853830139,1,0,Univariate only,3.344832325338401,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
1956,565,Germany,Female,58,3,108888.24,3,0,1,135875.51,1,0,0,0,0,1,-0.5742747287302352,18.81802305926044,0,0,1.035425947117837,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1963,358,Spain,Female,52,8,143542.36,3,1,0,141959.11,1,1,1,1,1,1,-0.6111946159689555,27.279600448476053,1,1,1.5492367508253309,1,1,Both families,3.026729882605834,1,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
1982,476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0,1,1,0,0,1,-0.5863724018660921,17.205977216841184,0,0,1.207655757701613,1,1,Both families,2.868064371831893,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
1994,824,Germany,Male,60,8,134250.17,3,0,0,153046.16,1,0,0,0,0,1,-0.6163790395812005,24.833847086625266,1,1,1.2725739980015438,0,1,Multivariate only,2.52705661927622,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
2003,601,France,Male,74,2,0.0,2,0,1,51554.58,0,1,1,1,1,1,-0.5681561561673252,20.366723746975232,0,0,1.0623042868360977,1,1,Both families,3.344832325338401,0,0,3,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
