antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_len,consequent_len
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.0654,0.2509,0.0353,0.5397553516819572,2.151276810211069,0.018891139999999997,1.6276126210483102,0.5726083601231593,4,1
"frozenset({'Active_Status_Active', 'Balance_Band_Zero_Balance', 'Gender_Male'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.1024,0.2367,0.0521,0.5087890625,2.149510192226447,0.02786192,1.553914907373342,0.595786246796747,3,2
"frozenset({'Age_Band_Age_31_to_45', 'Balance_Band_Zero_Balance', 'CreditScore_Band_Fair_Credit'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.0711,0.2367,0.036,0.5063291139240507,2.1391175070724575,0.019170629999999998,1.546171791739806,0.5732775325653998,3,2
"frozenset({'Active_Status_Active', 'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.1342,0.2367,0.0678,0.5052160953800298,2.134415274102365,0.036034859999999995,1.542693671580881,0.6138688041342908,3,2
"frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard', 'Salary_Band_High_Income'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.0636,0.2367,0.0321,0.5047169811320754,2.1323066376513538,0.017045879999999996,1.5411390445074142,0.5670913061356476,3,2
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Age_Band_Age_18_to_30'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.0556,0.2592,0.0307,0.552158273381295,2.1302402522426505,0.01628848,1.6541558195995556,0.5618057826212324,3,2
"frozenset({'Products_Label_Products_2', 'Balance_Band_Balance_Above_100K', 'Gender_Male'})",frozenset({'Geography_Germany'}),0.0813,0.2509,0.0434,0.5338253382533825,2.1276418423809584,0.02300183,1.6069084398247582,0.5768978806458135,3,1
"frozenset({'Geography_France', 'Tenure_Band_Loyal', 'CrCard_Status_Has_CrCard', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0766,0.3617,0.0589,0.7689295039164491,2.125876427747993,0.031193779999999997,2.7623604400227793,0.573538848273506,4,1
"frozenset({'Tenure_Band_Loyal', 'Balance_Band_Zero_Balance', 'Gender_Male'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.0905,0.2367,0.0455,0.5027624309392266,2.1240491378928033,0.02407865,1.5350811080238924,0.5818593720737757,3,2
"frozenset({'Geography_France', 'Age_Band_Age_18_to_30', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0556,0.3617,0.0427,0.7679856115107915,2.1232668275111735,0.022589480000000002,2.7511224687626052,0.5601732683824879,3,1
"frozenset({'Products_Label_Products_2', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.1474,0.2509,0.0783,0.5312075983717774,2.1172084430919784,0.041317339999999994,1.59793545245245,0.6189068131766733,2,1
"frozenset({'Active_Status_Active', 'Balance_Band_Zero_Balance', 'Age_Band_Age_31_to_45'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.1051,0.2367,0.0526,0.5004757373929591,2.114388413151496,0.02772283,1.5280539017028865,0.5889484858643423,3,2
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CreditScore_Band_Fair_Credit', 'Gender_Male'})",frozenset({'Balance_Band_Zero_Balance'}),0.0446,0.3617,0.0341,0.7645739910313901,2.113834644819989,0.017968179999999997,2.7112552265788583,0.5515240733794691,4,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Salary_Band_Low_Income'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.0595,0.2592,0.0326,0.5478991596638655,2.113808486357506,0.017177599999999998,1.6385724870819676,0.5602554443368134,3,2
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.0921,0.2509,0.0488,0.5298588490770901,2.1118327982347154,0.02569211,1.5933512668187608,0.5798850797823837,3,1
"frozenset({'Geography_France', 'Tenure_Band_Loyal', 'Gender_Male', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0596,0.3617,0.0455,0.7634228187919463,2.110651973436401,0.023942679999999997,2.6980623999429416,0.5595626831696588,4,1
"frozenset({'Products_Label_Products_2', 'Geography_France', 'Salary_Band_Low_Income'})",frozenset({'Balance_Band_Zero_Balance'}),0.0595,0.3617,0.0454,0.7630252100840337,2.1095526958364212,0.023878850000000004,2.693535449626571,0.5592406794586252,3,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Gender_Male'})",frozenset({'Balance_Band_Zero_Balance'}),0.0922,0.3617,0.0702,0.7613882863340563,2.105027056494488,0.03685126,2.6750572615163497,0.5782625288022953,4,1
"frozenset({'Products_Label_Products_2', 'Gender_Female', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.0661,0.2509,0.0349,0.5279878971255673,2.104375835494489,0.018315509999999997,1.5870355735607993,0.5619442268626712,3,1
"frozenset({'Geography_France', 'Tenure_Band_Loyal', 'Products_Label_Products_2'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.1083,0.2592,0.0589,0.543859649122807,2.0982239549491015,0.030828640000000004,1.6240615349010958,0.5869759466332883,3,2
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CreditScore_Band_Fair_Credit', 'CrCard_Status_Has_CrCard'})",frozenset({'Balance_Band_Zero_Balance'}),0.0547,0.3617,0.0414,0.7568555758683729,2.092495371491216,0.021615009999999997,2.625188711007682,0.5523132241841278,4,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_France', 'CrCard_Status_Has_CrCard'})",frozenset({'Balance_Band_Zero_Balance'}),0.0896,0.3617,0.0678,0.7566964285714286,2.09205537343497,0.035391679999999995,2.623471548850319,0.5733756370177975,4,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Gender_Male'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.1296,0.2592,0.0702,0.5416666666666666,2.089763374485597,0.036607680000000004,1.616290905564456,0.5991233031674208,3,2
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Salary_Band_High_Income'})",frozenset({'Balance_Band_Zero_Balance'}),0.0426,0.3617,0.0321,0.7535211267605633,2.0832765462000644,0.016691579999999998,2.589674275207606,0.5431239982116675,4,1
"frozenset({'Active_Status_Active', 'Tenure_Band_Loyal', 'Geography_France', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0592,0.3617,0.0445,0.7516891891891891,2.078211747827451,0.023087359999999994,2.5705686971307706,0.5514637315600397,4,1
"frozenset({'Age_Band_Age_31_to_45', 'Tenure_Band_Loyal', 'Geography_France', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0659,0.3617,0.0495,0.7511380880121397,2.076688106198893,0.02566397,2.564876209205772,0.5550412593983945,4,1
"frozenset({'Geography_France', 'CrCard_Status_Has_CrCard', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.1663,0.3617,0.1249,0.751052315093205,2.0764509679104366,0.06474928999999999,2.563992501777972,0.6218172570922276,3,1
"frozenset({'Geography_France', 'Tenure_Band_Loyal', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.1083,0.3617,0.0813,0.7506925207756233,2.075456236592821,0.042127889999999994,2.560292211952606,0.5811127383450574,3,1
"frozenset({'Geography_France', 'Tenure_Band_Loyal', 'Active_Status_Inactive', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0491,0.3617,0.0368,0.7494908350305499,2.0721339094015754,0.01904053,2.5480105589343642,0.5441221017159945,4,1
"frozenset({'Geography_France', 'Tenure_Band_Established', 'Products_Label_Products_2'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.0689,0.2592,0.037,0.537010159651669,2.071798455446254,0.019141119999999998,1.6000351062619926,0.5556090297149259,3,2
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Active_Status_Inactive', 'Gender_Male'})",frozenset({'Balance_Band_Zero_Balance'}),0.059,0.3617,0.0442,0.7491525423728814,2.071198624199285,0.022859700000000004,2.5445743141804136,0.54961507205678,4,1
"frozenset({'Geography_France', 'Tenure_Band_Established', 'CrCard_Status_Has_CrCard', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0494,0.3617,0.037,0.7489878542510121,2.0707433073016643,0.019132019999999996,2.542904828579072,0.5439528946156338,4,1
"frozenset({'CreditScore_Band_Good_Credit', 'Products_Label_Products_2', 'Geography_France', 'CrCard_Status_Has_CrCard'})",frozenset({'Balance_Band_Zero_Balance'}),0.0414,0.3617,0.031,0.748792270531401,2.0702025726607713,0.016025619999999997,2.5409249898851636,0.5392817482484537,4,1
"frozenset({'CreditScore_Band_Good_Credit', 'Geography_France', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0582,0.3617,0.0434,0.7457044673539519,2.061665654835366,0.02234906,2.5100716117509343,0.5467777654907311,3,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_France'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.1269,0.2592,0.0678,0.5342789598108747,2.0612614190234364,0.03490752,1.5906517732342857,0.5896921051324595,3,2
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Active_Status_Inactive'})",frozenset({'Balance_Band_Zero_Balance'}),0.0767,0.3617,0.0571,0.7444589308996088,2.05822209261711,0.029357609999999996,2.4978372351232583,0.5568545248967051,4,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_Spain'})",frozenset({'Balance_Band_Zero_Balance'}),0.0609,0.3617,0.0453,0.7438423645320197,2.0565174579265126,0.023272469999999996,2.491824990272298,0.5470568199368001,3,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Geography_Spain'})",frozenset({'Balance_Band_Zero_Balance'}),0.0429,0.3617,0.0319,0.7435897435897435,2.055819031213004,0.016383069999999996,2.489369990291456,0.5365958228700924,4,1
"frozenset({'CreditScore_Band_Good_Credit', 'Products_Label_Products_2', 'Geography_France'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.0582,0.2592,0.031,0.5326460481099656,2.054961605362522,0.01591456,1.5850941142554236,0.545097582528994,3,2
"frozenset({'Geography_France', 'CreditScore_Band_Fair_Credit', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0779,0.3617,0.0579,0.7432605905006419,2.0549090143783295,0.029723569999999998,2.4861784903163344,0.5567296920616921,3,1
"frozenset({'Geography_France', 'Gender_Male', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.1296,0.3617,0.0963,0.7430555555555556,2.0543421497250636,0.04942368,2.4841945849263776,0.5896440351841671,3,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_France', 'CreditScore_Band_Fair_Credit'})",frozenset({'Balance_Band_Zero_Balance'}),0.043,0.3617,0.0319,0.7418604651162791,2.051038056721811,0.016346899999999998,2.47269368411479,0.5354670911907967,4,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CreditScore_Band_Fair_Credit'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.0779,0.2592,0.0414,0.5314505776636714,2.05034945086293,0.021208320000000003,1.5810498596393485,0.5555560794594571,3,2
"frozenset({'Geography_France', 'Salary_Band_Upper_Mid_Income', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0577,0.3617,0.0427,0.7400346620450606,2.0459902185376295,0.02182991,2.455327323888507,0.5425438926777646,3,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Gender_Female'})",frozenset({'Balance_Band_Zero_Balance'}),0.0741,0.3617,0.0547,0.738191632928475,2.0408947551243433,0.027898029999999997,2.438042774192836,0.5508357597815299,4,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_France', 'Gender_Male'})",frozenset({'Balance_Band_Zero_Balance'}),0.0706,0.3617,0.0521,0.7379603399433429,2.040255294286267,0.02656398,2.435890801514925,0.5485961471025205,4,1
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'Geography_France', 'CrCard_Status_Has_CrCard'})",frozenset({'Balance_Band_Zero_Balance'}),0.103,0.3617,0.076,0.7378640776699029,2.0399891558471186,0.0387449,2.434996287007236,0.5683403743472394,4,1
"frozenset({'Products_Label_Products_2', 'Geography_Spain', 'Tenure_Band_Loyal'})",frozenset({'Balance_Band_Zero_Balance'}),0.0537,0.3617,0.0396,0.7374301675977655,2.038789515061558,0.020176710000000004,2.4309723311671485,0.5384263751324938,3,1
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'Geography_France', 'Gender_Male'})",frozenset({'Balance_Band_Zero_Balance'}),0.0802,0.3617,0.0591,0.7369077306733167,2.037345122126947,0.03009166,2.4261450144750314,0.553560713007205,4,1
"frozenset({'Geography_France', 'Products_Label_Products_2'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.2367,0.2592,0.1249,0.527672158850866,2.035772217788835,0.06354736,1.568402143369939,0.6665608656189985,2,2
"frozenset({'Geography_France', 'Tenure_Band_Loyal', 'Gender_Female', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0487,0.3617,0.0358,0.7351129363449692,2.0323830145008825,0.018185209999999997,2.4097061924532794,0.5339711550263179,4,1
"frozenset({'Active_Status_Inactive', 'Geography_France', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.1098,0.3617,0.0807,0.7349726775956283,2.03199523803049,0.040985339999999995,2.4084309187475688,0.5705154599567868,3,1
"frozenset({'Geography_France', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.2367,0.3617,0.1739,0.7346852555978032,2.031200596068021,0.08828561,2.4058218062188215,0.6651124505764632,2,1
"frozenset({'Active_Status_Active', 'Geography_France', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.1269,0.3617,0.0932,0.7344365642237982,2.0305130335189334,0.04730027,2.403568833679142,0.5812777764396312,3,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Salary_Band_High_Income'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.061,0.2592,0.0321,0.5262295081967213,2.030206435944141,0.0162888,1.563626294277467,0.5404038896021817,3,2
"frozenset({'CrCard_Status_Has_CrCard', 'Age_Band_Age_46_to_60', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.0589,0.2509,0.03,0.5093378607809846,2.0300432872896956,0.015221989999999998,1.5267124536358694,0.5391559522544539,3,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_France', 'Age_Band_Age_31_to_45'})",frozenset({'Balance_Band_Zero_Balance'}),0.0717,0.3617,0.0526,0.7336122733612274,2.0282340983169127,0.02666611,2.396131404617664,0.5461168438648021,4,1
"frozenset({'Active_Status_Inactive', 'Products_Label_Products_2', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.0678,0.2509,0.0345,0.5088495575221239,2.0280970805983416,0.01748898,1.5251945914892433,0.543796348982771,3,1
"frozenset({'Geography_France', 'Tenure_Band_Established', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0689,0.3617,0.0505,0.7329462989840348,2.0263928642080034,0.02557887,2.3901559693107743,0.5439934241517803,3,1
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'Geography_France'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.1449,0.2592,0.076,0.5244996549344375,2.023532619345824,0.03844192,1.5579378777105195,0.5915269989967317,3,2
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'Geography_France', 'CreditScore_Band_Fair_Credit'})",frozenset({'Balance_Band_Zero_Balance'}),0.0492,0.3617,0.036,0.7317073170731707,2.022967423481257,0.018204359999999996,2.3791181729505593,0.5318433599775627,4,1
"frozenset({'Geography_France', 'CreditScore_Band_Poor_Credit', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.0558,0.3617,0.0408,0.7311827956989247,2.021517267622131,0.020617140000000003,2.3744759911669493,0.5351854043884022,3,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_Spain'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.0609,0.2592,0.0319,0.5238095238095237,2.0208700764256315,0.01611472,1.5556799967330717,0.5379231566006137,3,2
"frozenset({'Age_Band_Age_31_to_45', 'Geography_France', 'Products_Label_Products_2'})",frozenset({'Balance_Band_Zero_Balance'}),0.1449,0.3617,0.1059,0.7308488612836438,2.0205940317490843,0.05348966999999999,2.3715299911888525,0.590686509173587,3,1
"frozenset({'Products_Label_Products_2', 'Gender_Female', 'Geography_Spain'})",frozenset({'Balance_Band_Zero_Balance'}),0.0527,0.3617,0.0385,0.7305502846299811,2.019768550262596,0.01943841,2.3689021038844267,0.5329819130515848,3,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Salary_Band_Mid_Income', 'CrCard_Status_Has_CrCard'})",frozenset({'Balance_Band_Zero_Balance'}),0.0419,0.3617,0.0306,0.7303102625298329,2.019104955846925,0.015444769999999998,2.366793796533746,0.5268041391834193,4,1
"frozenset({'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Geography_Spain'})",frozenset({'Balance_Band_Zero_Balance'}),0.0834,0.3617,0.0609,0.7302158273381295,2.0188438687811154,0.03073422,2.365965324563488,0.5505858554155484,3,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Geography_France', 'Gender_Female'})",frozenset({'Balance_Band_Zero_Balance'}),0.0563,0.3617,0.0411,0.7300177619893428,2.0182962731250838,0.020736289999999994,2.364229596506175,0.5346324079753374,4,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Salary_Band_Mid_Income'})","frozenset({'Balance_Band_Zero_Balance', 'CrCard_Status_Has_CrCard'})",0.0585,0.2592,0.0306,0.523076923076923,2.018043684710351,0.015436799999999999,1.5532903193237457,0.5358158133141733,3,2
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Geography_Spain'})",frozenset({'Balance_Band_Zero_Balance'}),0.051,0.3617,0.0372,0.7294117647058823,2.0166208590154335,0.018753299999999997,2.358934773890893,0.5312128216458751,4,1
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'Geography_France', 'Active_Status_Inactive'})",frozenset({'Balance_Band_Zero_Balance'}),0.0732,0.3617,0.0533,0.7281420765027322,2.0131105239224003,0.02682356,2.347917579303137,0.5430041920352141,4,1
"frozenset({'Age_Band_Age_31_to_45', 'Products_Label_Products_2', 'Geography_Spain'})",frozenset({'Balance_Band_Zero_Balance'}),0.0724,0.3617,0.0527,0.7279005524861878,2.0124427771252082,0.026512919999999992,2.3458334939168344,0.542358194373188,3,1
"frozenset({'Products_Label_Products_2', 'Geography_Spain'})",frozenset({'Balance_Band_Zero_Balance'}),0.1183,0.3617,0.0861,0.7278106508875739,2.0121942241846114,0.04331088999999999,2.3450586870366315,0.5705229457874708,2,1
