antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"Prod=2, Spain","HasCard, Zero",0.1183,0.2592,0.0609,0.514792899408284,1.9860837168529475,0.030236640000000002,1.526770731707317,0.5631127954226357
"France, MedSal, Prod=2",Zero,0.0596,0.3617,0.0424,0.7114093959731543,1.9668493115099648,0.02084268,2.2117837209302325,0.5227271815285346
"Inactive, Prod=2, Spain",Zero,0.0574,0.3617,0.0408,0.710801393728223,1.9651683542389355,0.02003842,2.2071337349397595,0.5210457724358574
"France, NoCard, Prod=2",Zero,0.0704,0.3617,0.049,0.6960227272727273,1.924309447809586,0.02353632,2.0998280373831775,0.5167094032105097
"Prod=2, Youth","Retained, Zero",0.1025,0.3117,0.0612,0.5970731707317073,1.9155379234254326,0.02925075,1.7082506053268764,0.5325386421978262
"Youth, Zero","Prod=2, Retained",0.077,0.4242,0.0612,0.7948051948051947,1.873656753430445,0.028536599999999995,2.806113924050632,0.505183438489155
"Elderly, Retained",Active,0.0349,0.5151,0.0333,0.9541547277936964,1.8523679436880147,0.015323010000000001,10.57688125000002,0.4767904366909652
"Germany, Inactive, Prod=1",High,0.072,0.383,0.0508,0.7055555555555556,1.8421816071946622,0.023223999999999998,2.095471698113208,0.49263508009774637
"LowSal, Prod=2","Retained, Zero",0.1127,0.3117,0.0646,0.5732031943212068,1.8389579541905898,0.02947141000000001,1.612711226611227,0.5141595594385027
"Germany, Prod=2","High, Retained",0.104,0.2843,0.054,0.5192307692307693,1.826348115479315,0.0244328,1.4886560000000002,0.5049768518518518
"Retained, VeryHighSal, Zero",Prod=2,0.0745,0.459,0.0619,0.8308724832214766,1.810179702007574,0.0277045,3.1987698412698418,0.48359660629673173
"Fair, Germany, Prod=1",High,0.0458,0.383,0.0317,0.6921397379912664,1.8071533629014787,0.014158599999999997,2.0041560283687945,0.4680816737822556
"Germany, Poor",High,0.059,0.383,0.0408,0.6915254237288136,1.8055494092136126,0.018203000000000004,2.000164835164836,0.47412535683774043
"Retained, Youth, Zero",Prod=2,0.0739,0.459,0.0612,0.8281461434370772,1.8042399639152007,0.027279899999999996,3.148023622047244,0.48131951193175676
"Poor, Prod=2","Retained, Zero",0.1058,0.3117,0.0593,0.5604914933837428,1.7981761096687292,0.02632214,1.5660675268817201,0.49640007196461516
"Germany, HasCard, MedSal",High,0.0439,0.383,0.0302,0.6879271070615034,1.7961543265313404,0.0133863,1.9771021897810217,0.4636073286135522
"Germany, Prod=1",High,0.1349,0.383,0.0927,0.687175685693106,1.7941923908436188,0.04103330000000001,1.9723530805687206,0.511670524150141
"Good, Prod=2","Retained, Zero",0.1116,0.3117,0.0624,0.5591397849462365,1.7938395410530528,0.027614279999999998,1.5612658536585364,0.49812757593599555
"Germany, HasCard, Prod=1",High,0.0952,0.383,0.0654,0.6869747899159664,1.793667858788424,0.028938399999999996,1.9710872483221475,0.48903976616725736
"Germany, MedSal",High,0.0616,0.383,0.0421,0.6834415584415584,1.7844427113356616,0.018507199999999998,1.9490871794871791,0.4684579604846172
"Adult, Prod=2","Retained, Zero",0.2182,0.3117,0.1213,0.5559120073327223,1.7834841428704598,0.05328706000000001,1.5499180598555213,0.5619081001270242
"HasCard, Prod=2","Retained, Zero",0.3246,0.3117,0.1799,0.5542205791743685,1.7780576810213942,0.07872218000000002,1.544037180373186,0.6478953941279193
"Retained, Zero","HasCard, Prod=2",0.3117,0.3246,0.1799,0.5771575232595445,1.778057681021394,0.07872218000000002,1.5972851289833083,0.6357526502891133
"NoCard, Retained, Zero",Prod=2,0.0877,0.459,0.0715,0.8152793614595211,1.7762077591710699,0.031245699999999994,2.928746913580246,0.4790121639842126
"Active, Prod=2","Retained, Zero",0.2446,0.3117,0.1354,0.5535568274734259,1.7759282241688354,0.05915817999999999,1.5417415750915748,0.5783878477717694
"Inactive, Retained, Zero",Prod=2,0.1424,0.459,0.116,0.8146067415730338,1.7747423563682654,0.0506384,2.9181212121212132,0.5090227740607308
"Fair, Retained, Zero",Prod=2,0.1026,0.459,0.0835,0.8138401559454191,1.773072235175205,0.036406600000000004,2.906104712041885,0.48585601251252797
"France, Youth, Zero",Prod=2,0.0525,0.459,0.0427,0.8133333333333334,1.7719680464778504,0.0186025,2.8982142857142854,0.45979497383104806
"Active, Youth, Zero",Prod=2,0.0383,0.459,0.0311,0.8120104438642297,1.769085934344727,0.013520299999999999,2.877819444444443,0.45204984340765797
"Adult, Germany, Prod=1",High,0.0502,0.383,0.034,0.6772908366533865,1.7683833855179805,0.014773400000000003,1.9119382716049387,0.4574771159253342
"Middle, Retained, Zero",Prod=2,0.0593,0.459,0.0481,0.8111298482293423,1.7671674253362577,0.020881299999999995,2.864401785714285,0.46148895622691727
"LowSal, Retained, Zero",Prod=2,0.0797,0.459,0.0646,0.8105395232120453,1.7658813141874623,0.028017700000000006,2.855476821192054,0.47127080986177283
"Youth, Zero","HasCard, Prod=2",0.077,0.3246,0.044,0.5714285714285714,1.7604084147522223,0.019005799999999996,1.5759333333333332,0.467984832069339
"Germany, HasCard, Middle",High,0.0481,0.383,0.0324,0.6735966735966736,1.7587380511662496,0.0139777,1.890299363057325,0.45320988951272245
"France, Retained, Zero",Prod=2,0.2081,0.459,0.1679,0.806823642479577,1.7577857134631307,0.07238209999999999,2.80054975124378,0.5443900011740372
Prod=2,"Retained, Zero",0.459,0.3117,0.2514,0.5477124183006536,1.7571781145353023,0.10832970000000003,1.52181936416185,0.7964985728717704
"Retained, Zero",Prod=2,0.3117,0.459,0.2514,0.8065447545717037,1.757178114535302,0.10832970000000003,2.796512437810947,0.6260434809292863
"Youth, Zero",Prod=2,0.077,0.459,0.0621,0.8064935064935065,1.7570664629488157,0.026757000000000003,2.7957718120805364,0.46681426350746624
"Retained, Spain, Zero",Prod=2,0.1036,0.459,0.0835,0.8059845559845561,1.7559576383105797,0.0359476,2.788437810945275,0.48026570687273384
"Germany, HasCard, Inactive",High,0.0918,0.383,0.0617,0.6721132897603486,1.7548649863194479,0.026540599999999998,1.8817475083056476,0.47363531333640513
"Germany, Middle",High,0.0678,0.383,0.0455,0.6710914454277286,1.7521969854509885,0.019532599999999997,1.8759013452914797,0.46051052573258106
"HasCard, Retained, Zero",Prod=2,0.224,0.459,0.1799,0.803125,1.7497276688453158,0.077084,2.7479365079365072,0.5521681575674916
"Adult, Germany, HasCard",High,0.0733,0.383,0.0491,0.6698499317871759,1.7489554354756551,0.021026099999999995,1.868847107438016,0.46210223650177124
"Adult, Retained, Zero",Prod=2,0.1513,0.459,0.1213,0.8017184401850629,1.7466632683770433,0.051853300000000005,2.728443333333334,0.5036877602727066
"HasCard, Youth, Zero",Prod=2,0.0549,0.459,0.044,0.8014571948998178,1.7460941065355506,0.0188009,2.7248532110091737,0.45211425438385544
"HighSal, Retained, Zero",Prod=2,0.078,0.459,0.0625,0.8012820512820513,1.7457125300262555,0.026698,2.722451612903226,0.46330585683297176
"Inactive, Youth, Zero",Prod=2,0.0387,0.459,0.031,0.8010335917312662,1.7451712238153947,0.0132367,2.7190519480519484,0.4441800921467233
"High, Spain","Prod=1, Retained",0.0702,0.3675,0.045,0.641025641025641,1.7442874585731727,0.0192015,1.7619642857142856,0.45891589589158965
"Germany, HasCard",High,0.1791,0.383,0.1196,0.6677833612506979,1.7435596899496029,0.0510047,1.8572218487394958,0.519503840103712
"Germany, Inactive",High,0.1261,0.383,0.0842,0.6677240285487709,1.743404774278775,0.0359037,1.8568902147971365,0.4879388244848834
"Good, Retained, Zero",Prod=2,0.078,0.459,0.0624,0.7999999999999999,1.7429193899782134,0.026597999999999997,2.7049999999999987,0.4623101952277657
"Active, Retained, Zero",Prod=2,0.1693,0.459,0.1354,0.7997637330183106,1.7424046470987158,0.05769129999999999,2.701808259587019,0.5129174217113966
"MedSal, Prod=2","Retained, Zero",0.115,0.3117,0.0624,0.5426086956521738,1.7408042850567016,0.026554499999999995,1.504838403041825,0.4808507170795306
"Active, Germany, Prod=1",High,0.0629,0.383,0.0419,0.6661367249602544,1.739260378486304,0.0178093,1.8480619047619051,0.45357268106627646
"Germany, HasCard, HighSal",High,0.0463,0.383,0.0308,0.6652267818574514,1.7368845479306825,0.013067100000000002,1.8430387096774195,0.44485319650465927
"Adult, Zero","Prod=2, Retained",0.1647,0.4242,0.1213,0.7364905889496053,1.736187149810479,0.051434259999999996,2.1851211981566814,0.507632259919352
"Inactive, Prod=2","Retained, Zero",0.2144,0.3117,0.116,0.541044776119403,1.735786898041075,0.04917152000000001,1.4997105691056913,0.5395779197977387
"Active, Germany, HasCard",High,0.0873,0.383,0.0579,0.6632302405498282,1.7316716463441988,0.024464099999999996,1.832112244897959,0.4629377846632805
"Fair, Prod=2","Retained, Zero",0.1548,0.3117,0.0835,0.539405684754522,1.7305283437745334,0.03524884000000001,1.4943736325385695,0.4994578755409202
"Prod=2, VeryHighSal","Retained, Zero",0.115,0.3117,0.0619,0.5382608695652173,1.7268555327725934,0.026054499999999994,1.4906685499058379,0.4756076412657557
"HighSal, Prod=2","Retained, Zero",0.1163,0.3117,0.0625,0.5374032674118658,1.7241041623736473,0.02624929,1.4879050185873606,0.4752615593527215
Germany,High,0.2509,0.383,0.1652,0.6584296532483062,1.7191374758441413,0.06910530000000001,1.8063628938156362,0.5584207101790915
"Fair, Germany, HasCard",High,0.0623,0.383,0.041,0.6581059390048154,1.7182922689420768,0.0171391,1.8046525821596244,0.44580018051433584
"Poor, Retained, Zero",Prod=2,0.0754,0.459,0.0593,0.7864721485411141,1.713446946712667,0.024691400000000002,2.533627329192547,0.4503364838685085
"France, High","Prod=1, Retained",0.1476,0.3675,0.0929,0.6294037940379403,1.7126633851372526,0.038657,1.706709323583181,0.48816764568755144
"MedSal, Retained, Zero",Prod=2,0.0795,0.459,0.0624,0.7849056603773584,1.7100341184691905,0.025909499999999995,2.51517543859649,0.45107696486023474
"LowSal, Prod=2, Retained",Zero,0.1045,0.3617,0.0646,0.6181818181818183,1.7091009626259834,0.026802350000000003,1.6717380952380956,0.46331329851873754
"Active, Adult, Germany",High,0.0515,0.383,0.0337,0.654368932038835,1.7085350705974802,0.013975500000000002,1.7851404494382022,0.4372200992039595
"Fair, Germany",High,0.0856,0.383,0.056,0.6542056074766356,1.7081086357092312,0.023215200000000005,1.7842972972972977,0.45336520434945643
"NoCard, Prod=2","Retained, Zero",0.1344,0.3117,0.0715,0.5319940476190476,1.7067502329773745,0.02960752,1.470707790143084,0.4783863087005416
"Germany, HighSal",High,0.064,0.383,0.0418,0.653125,1.7052872062663185,0.017287999999999994,1.7787387387387386,0.4418680734470207
"Active, Zero","Prod=2, Retained",0.1873,0.4242,0.1354,0.7229044313934864,1.7041594327993548,0.055947339999999984,2.0779834296724466,0.5084292397335576
"Germany, LowSal",High,0.0616,0.383,0.0402,0.6525974025974026,1.7039096673561427,0.0166072,1.7760373831775702,0.44023276626246427
"Adult, LowSal, Prod=2",Zero,0.0546,0.3617,0.0336,0.6153846153846153,1.7013674741073135,0.013851179999999994,1.6595799999999996,0.4360455891686057
"Adult, Germany",High,0.1022,0.383,0.0665,0.6506849315068494,1.6989162702528704,0.027357400000000004,1.7663137254901964,0.45821950733371636
"Prod=2, Retained, Youth",Zero,0.0997,0.3617,0.0612,0.6138415245737212,1.6971012567700337,0.025138509999999996,1.652948311688312,0.4562478810621586
"Active, Germany",High,0.1248,0.383,0.081,0.6490384615384616,1.6946173930508135,0.033201600000000005,1.758027397260274,0.4683458595707225
"HasCard, Prod=2, Youth",Zero,0.0719,0.3617,0.044,0.6119610570236439,1.691902286490583,0.017993769999999992,1.6449379928315409,0.44063066284001506
"Adult, Germany, Inactive",High,0.0507,0.383,0.0328,0.6469428007889547,1.6891456939659393,0.013381900000000002,1.74759217877095,0.4297743138076066
"Poor, Prod=2, Retained",Zero,0.0973,0.3617,0.0593,0.6094552929085303,1.6849745449503186,0.024106589999999997,1.634383947368421,0.4503370159336493
"Germany, VeryHighSal",High,0.0637,0.383,0.0411,0.6452119309262165,1.6846264515044818,0.016702899999999996,1.7390663716814154,0.43404527787457636
"Adult, Zero","HasCard, Prod=2",0.1647,0.3246,0.0899,0.5458409228901031,1.681580169100749,0.03643837999999999,1.4871441176470586,0.48524032782078114
"Inactive, Prod=2, Youth",Zero,0.051,0.3617,0.031,0.607843137254902,1.6805173825128614,0.0125533,1.6276650000000001,0.42670723002141475
"Good, Prod=2, Retained",Zero,0.1028,0.3617,0.0624,0.6070038910505836,1.678197099946319,0.025217239999999995,1.6241891089108909,0.45042625490128824
"Active, LowSal, Zero",Prod=2,0.0468,0.459,0.036,0.7692307692307692,1.675884028825205,0.014518799999999995,2.3443333333333323,0.4231011330255979
"Active, LowSal, Prod=2",Zero,0.0594,0.3617,0.036,0.606060606060606,1.6755891790450814,0.014515019999999997,1.6202999999999996,0.42865724005953637
"Prod=2, Youth",Zero,0.1025,0.3617,0.0621,0.6058536585365855,1.675017026642481,0.02502575,1.6194492574257429,0.44901520146766605
"Retained, Senior",Active,0.0349,0.5151,0.0301,0.8624641833810888,1.674362615766043,0.012123009999999997,3.525627083333332,0.41732235758881986
"VeryHighSal, Zero","Prod=2, Retained",0.0873,0.4242,0.0619,0.7090492554410079,1.6714975375789909,0.024867339999999995,1.979029133858267,0.4401600605209596
"HasCard, LowSal, Prod=2",Zero,0.0809,0.3617,0.0489,0.6044499381953028,1.6711361299289542,0.019638469999999998,1.6137021874999997,0.4369543069051056
"Active, Prod=2, Youth",Zero,0.0515,0.3617,0.0311,0.6038834951456311,1.6695700722854052,0.01247245,1.6113946078431374,0.4228185644281799
"Adult, LowSal, Zero",Prod=2,0.0439,0.459,0.0336,0.7653758542141229,1.6674855211636663,0.013449899999999997,2.305815533980581,0.41867445126779923
"Adult, Good, Zero",Prod=2,0.0399,0.459,0.0305,0.7644110275689223,1.6653835023288068,0.0121859,2.2963723404255316,0.4161417611894936
"LowSal, Zero","Prod=2, Retained",0.0915,0.4242,0.0646,0.7060109289617487,1.664335051772156,0.0257857,1.9585762081784388,0.43936097162846255
"Germany, HasCard, Prod=2",High,0.0749,0.383,0.0477,0.6368491321762351,1.662791467823068,0.0190133,1.6990183823529417,0.43087415106350335
"Inactive, Prod=2, Retained",Zero,0.1932,0.3617,0.116,0.6004140786749482,1.6599780997372082,0.046119560000000004,1.597403626943005,0.49278930812233945
"Germany, NoCard",High,0.0718,0.383,0.0456,0.6350974930362117,1.6582179974835813,0.0181006,1.690862595419847,0.42764811727660024
"Germany, Good",High,0.0566,0.383,0.0359,0.6342756183745584,1.6560721106385337,0.0142222,1.6870628019323675,0.41992957376359913
"Active, Good, Zero",Prod=2,0.047,0.459,0.0357,0.7595744680851064,1.6548463356973995,0.014127,2.2501769911504423,0.4152301004347175
"HasCard, Prod=2, Retained",Zero,0.301,0.3617,0.1799,0.5976744186046512,1.652403700869923,0.0710283,1.5865260115606938,0.5648369265710326
"LowSal, Prod=2",Zero,0.1127,0.3617,0.0673,0.5971606033717836,1.6509831445169576,0.026536409999999996,1.584502422907489,0.44438216744823644
"LowSal, Zero","HasCard, Prod=2",0.0915,0.3246,0.0489,0.5344262295081967,1.6464147551084312,0.0191991,1.4506830985915493,0.43216250071749096
"Active, Germany, Prod=2",High,0.0568,0.383,0.0358,0.630281690140845,1.6456440995844517,0.014045599999999998,1.668838095238095,0.4159618273226529
"Adult, Poor, Prod=2",Zero,0.0506,0.3617,0.0301,0.5948616600790514,1.644627205084466,0.011797979999999996,1.5755112195121952,0.41284966130033507
"France, Medium","Prod=1, Retained",0.0647,0.3675,0.0391,0.6043276661514684,1.6444290235414105,0.015322750000000007,1.5985449218750005,0.4189951772247537
"NoCard, Zero","Prod=2, Retained",0.1025,0.4242,0.0715,0.697560975609756,1.6444153126114003,0.028019499999999996,1.903854838709677,0.43663634415723557
"Fair, Zero","Prod=2, Retained",0.1198,0.4242,0.0835,0.6969949916527546,1.6430810741460504,0.03268084,1.9002986225895315,0.44465724311431676
"Good, Zero","Prod=2, Retained",0.0896,0.4242,0.0624,0.6964285714285714,1.6417458072337845,0.02439168,1.8967529411764703,0.42936325537380016
"Spain, Zero","Prod=2, Retained",0.1199,0.4242,0.0835,0.6964136780650542,1.6417106979374214,0.03263842,1.8966598901098897,0.4441305322544321
"Adult, France, Zero",Prod=2,0.1098,0.459,0.0827,0.7531876138433515,1.6409316205737505,0.0323018,2.1919483394833943,0.43876666439371936
"Active, Zero","HasCard, Prod=2",0.1873,0.3246,0.0997,0.5323011211959423,1.639867902636914,0.03890242,1.4440915525114155,0.48012155082202435
"Active, Good, Prod=2",Zero,0.0602,0.3617,0.0357,0.5930232558139535,1.6395445281005074,0.013925660000000003,1.5683942857142859,0.41506119366239796
"Adult, Inactive, Zero",Prod=2,0.0844,0.459,0.0635,0.7523696682464455,1.639149604022757,0.024760399999999995,2.1847081339712915,0.4258710780418502
"Prod=2, Retained",Zero,0.4242,0.3617,0.2514,0.5926449787835927,1.6384986972175632,0.09796685999999999,1.5669378472222224,0.6767718007363005
Zero,"Prod=2, Retained",0.3617,0.4242,0.2514,0.6950511473596903,1.638498697217563,0.09796685999999999,1.8881854941069807,0.6105047828042641
"Adult, HasCard, Zero",Prod=2,0.1196,0.459,0.0899,0.7516722408026756,1.6376301542541951,0.035003599999999996,2.1785723905723904,0.4422552394275228
"Adult, Zero",Prod=2,0.1647,0.459,0.1238,0.7516697024893745,1.637624624159857,0.04820269999999999,2.178550122249387,0.4661312710726433
"Adult, NoCard, Zero",Prod=2,0.0451,0.459,0.0339,0.7516629711751662,1.6376099589872901,0.013199099999999998,2.1784910714285703,0.4077432006502093
"France, Zero","Prod=2, Retained",0.2418,0.4242,0.1679,0.6943755169561622,1.636905980566153,0.06532843999999999,1.884011366711773,0.5131777418980314
"HasCard, Zero","Prod=2, Retained",0.2592,0.4242,0.1799,0.6940586419753086,1.6361589862689971,0.06994736,1.882060025220681,0.5248548209528451
"Active, Adult, Zero",Prod=2,0.0803,0.459,0.0603,0.75093399750934,1.6360217810661002,0.0234423,2.172115,0.42270435362602016
"Adult, Germany, Prod=2",High,0.0482,0.383,0.0302,0.6265560165975104,1.635916492421698,0.0117394,1.652188888888889,0.40840707533582243
"Adult, Spain, Zero",Prod=2,0.0549,0.459,0.0411,0.7486338797814207,1.6310106313320711,0.0159009,2.152239130434782,0.40935690580767337
"Active, Fair, Zero",Prod=2,0.0623,0.459,0.0466,0.7479935794542536,1.629615641512535,0.0180043,2.1467707006369423,0.41202769446380766
Elderly,"Active, Retained",0.0464,0.4416,0.0333,0.7176724137931035,1.6251639805097453,0.012809760000000003,1.977844274809161,0.40339500574399906
"Middle, Prod=2","Retained, Zero",0.095,0.3117,0.0481,0.5063157894736842,1.6243689107272512,0.018488499999999998,1.3942110874200426,0.42472519268099374
"Inactive, LowSal, Prod=2",Zero,0.0533,0.3617,0.0313,0.5872420262664165,1.62356103474265,0.01202139,1.5464268181818182,0.40569342775020406
"MedSal, Prod=2, Retained",Zero,0.1063,0.3617,0.0624,0.5870178739416745,1.6229413158464874,0.023951289999999993,1.5455874715261957,0.42948951061992346
"Active, VeryHighSal, Zero",Prod=2,0.0443,0.459,0.033,0.744920993227991,1.6229215538736186,0.012666300000000002,2.120911504424779,0.40161899416895763
"HighSal, Zero","Prod=2, Retained",0.0908,0.4242,0.0625,0.6883259911894273,1.622644958013737,0.023982639999999993,1.8474431095406358,0.42204381874175084
"Good, HasCard, Prod=2",Zero,0.0793,0.3617,0.0465,0.5863808322824716,1.6211800726637313,0.01781719,1.5432070121951218,0.4161674555708548
"Active, Prod=2, Retained",Zero,0.231,0.3617,0.1354,0.5861471861471861,1.6205341060193146,0.051847299999999985,1.542335774058577,0.497944730538807
"Fair, Prod=2, Retained",Zero,0.1426,0.3617,0.0835,0.5855539971949509,1.6188941033866489,0.03192158,1.5401282571912014,0.4458763368993294
"Adult, Fair, Zero",Prod=2,0.0541,0.459,0.0402,0.7430683918669131,1.6188853853309653,0.015368099999999999,2.1056187050359707,0.4041558777631033
"Active, HasCard, Zero",Prod=2,0.1342,0.459,0.0997,0.7429210134128166,1.6185642993743279,0.03810219999999999,2.1044115942028974,0.44140506527668
"Inactive, Poor, Prod=2",Zero,0.0523,0.3617,0.0306,0.5850860420650096,1.617600337475835,0.011683089999999997,1.5383912442396315,0.40287045140591493
"Fair, Zero","HasCard, Prod=2",0.1198,0.3246,0.0629,0.5250417362270451,1.6175038084628623,0.024012919999999993,1.422019683655536,0.43372351059106734
